customer_id,name,country,age,total_spent
187,Brittani,Nepal,57,4474
188,Madelaine,Pakistan,27,8104
189,Marlin,Iran,53,1121
190,Esmaria,Pakistan,49,8135
191,Mayne,Iran,61,6870
192,Gigi,Iran,51,9261
193,Bo,Iran,67,7673
194,Kendal,Pakistan,18,1420
195,Selie,Iran,24,8703
196,Butch,Iran,54,993
197,Kayla,Iraq,24,3106
198,Sigvard,Bangladesh,54,8796
199,Mitchel,Pakistan,53,8124
200,Dilan,Pakistan,67,5286
201,Valle,Pakistan,23,4254
202,Colet,Iran,27,5873
203,Chrysa,Pakistan,50,6436
204,Marsiella,Pakistan,44,9996
205,Chrysler,Iran,28,562
206,Allyn,Pakistan,65,7570
207,Yetty,Pakistan,62,2976
208,Lynett,Iran,40,6234
209,Aluino,Pakistan,58,7797
210,Tore,Pakistan,26,6449
211,Farr,Bangladesh,44,6313
212,Alfons,Bhutan,60,4705
213,Orran,Pakistan,33,9901
214,Keeley,Iran,64,1094
215,Sherrie,Pakistan,47,5835
216,Minny,Iraq,60,6497
217,Lurline,Bangladesh,18,2178
218,Augustina,Iran,44,6534
219,Kingsley,Pakistan,27,8092
220,Granville,Iran,30,4682
221,Ranee,Iraq,29,8528
222,Darell,Iraq,70,3448
223,Warden,Pakistan,37,6087
224,Marga,Bangladesh,51,9462
225,Pet,Pakistan,57,4870
226,Cyril,Nepal,21,2694
227,Leyla,Pakistan,37,7150
228,Durward,Iran,47,7949
229,Tomaso,Iran,18,4629
230,Chuck,Iran,49,1026
231,Nicolai,Bangladesh,32,9018
232,Brooke,Iran,57,2924
233,Rose,Pakistan,19,6365
234,Marya,Bangladesh,44,6033
235,Andriette,Pakistan,37,7584
236,Jaime,Bangladesh,54,8041
237,Rosemary,Iran,30,5447
238,Cinda,Pakistan,65,9424
239,Charity,Nepal,22,5032
240,Vanda,Bangladesh,37,6393
241,Emmerich,Iraq,68,5597
242,Janeczka,Iran,49,7060
243,Winni,Nepal,67,6085
244,Seward,Pakistan,51,8169
245,Tatiania,Pakistan,51,4549
246,Allyce,Pakistan,60,6417
247,Stacey,Iran,31,8800
248,Maire,Pakistan,63,1138
249,Christy,Iran,44,9552
250,Datha,Bangladesh,68,2424
251,Kelsey,Pakistan,53,9587
252,Helenka,Iran,65,1165
253,Frasquito,Bangladesh,48,5455
254,Chastity,Iran,42,4095
255,Zola,Iran,63,1066
256,Gay,Pakistan,40,8679
257,Tim,Pakistan,33,9859
258,Bartie,Pakistan,50,6317
259,Dana,Iran,27,5956
260,Rosamund,Iran,57,7808
261,Morgana,Iran,66,8102
262,Fionna,Iran,33,5423
263,Cristal,Iran,19,2914
264,Porter,Iraq,29,2176
265,Aurie,Pakistan,53,8559
266,Salvatore,Pakistan,66,5147
267,Ingrim,Iran,47,9055
268,Dan,Pakistan,35,654
269,Lorna,Bangladesh,32,6526
270,Rudd,Pakistan,61,4973
271,Danna,Pakistan,54,8554
272,Jake,Iraq,25,8613
273,Reinaldos,Pakistan,40,8531
274,Mireille,Bangladesh,20,5874
275,Normie,Bangladesh,32,3241
276,Pepe,Bangladesh,58,3990
277,Zachariah,Iraq,64,3831
278,Consalve,Bangladesh,28,9906
279,Brand,Bangladesh,20,8958
280,Mil,Pakistan,68,1295
281,Ilysa,Bangladesh,48,2921
282,Burch,Bangladesh,51,7479
283,Johanna,Iran,35,868
284,Rakel,Nepal,50,6927
285,Kala,Pakistan,61,4036
286,Fons,Bangladesh,49,6726
287,Baudoin,Pakistan,31,9964
288,Jory,Pakistan,33,4893
289,Helga,Pakistan,22,4135
290,Sayers,Pakistan,19,1166
291,Anatol,Bangladesh,36,7429
292,Jarvis,Nepal,56,3239
293,Flinn,Bangladesh,21,6084
294,Gerty,Iran,65,6643
295,Deina,Pakistan,38,5240
296,Stevena,Pakistan,28,2706
297,Galvin,Iran,45,6577
298,Ase,Pakistan,55,5411
299,Pall,Iran,45,9628
300,Jeniffer,Iran,30,581
301,Rene,Pakistan,27,4946
302,Cassy,Iran,41,6348
303,Goddart,Pakistan,42,6050
304,Regan,Iran,64,1779
305,Charity,Pakistan,47,1194
306,Franklyn,Bangladesh,21,1941
307,Umberto,Iran,40,8148
308,Milli,Iran,19,3944
309,Ambur,Iran,62,3579
310,Zora,Iran,24,5655
311,Henrietta,Pakistan,18,5042
312,Reinold,Bangladesh,45,610
313,Valaree,Iraq,56,6269
314,Lira,Bangladesh,54,3647
315,Karl,Iraq,64,6535
316,Binni,Bangladesh,45,9554
317,Dewey,Bangladesh,65,7017
318,Rene,Iran,40,9664
319,Kaila,Iran,46,7305
320,Guinevere,Iran,40,7281
321,Pet,Iraq,62,3614
322,Sigismundo,Iran,37,2956
323,Hollyanne,Pakistan,27,3523
324,Cindee,Iran,33,8307
325,Shauna,Bangladesh,32,8041
326,Emmy,Pakistan,66,3553
327,Nicoli,Iran,64,8263
328,Lorette,Iran,42,6008
329,Paul,Pakistan,63,8465
330,Kenyon,Iran,36,1132
331,Dannie,Iran,35,8159
332,Carlita,Pakistan,52,4567
333,Morgun,Bangladesh,66,2735
334,Madalena,Iran,54,6324
335,Gay,Pakistan,61,4721
336,Amby,Iran,19,5162
337,Allina,Iran,40,5400
338,Fredek,Iran,43,4393
339,Noelyn,Pakistan,56,8685
340,Dani,Pakistan,66,9798
341,Zared,Pakistan,35,5437
342,Libby,Pakistan,53,4545
343,Corilla,Pakistan,46,5015
344,Beverly,Iran,35,2631
345,Tessa,Iran,26,6789
346,Willy,Iran,67,7065
347,Horatio,Pakistan,31,3353
348,Loraine,Pakistan,35,7207
349,Ferdinanda,Pakistan,18,6503
350,Rosaleen,Nepal,64,4951
351,Lionello,Iran,34,3856
352,Sandra,Bangladesh,48,2213
353,Zita,Nepal,56,9900
354,William,Iran,41,4058
355,Heather,Iran,24,6238
356,Magdalene,Iraq,38,4944
357,Faustine,Iraq,18,8682
358,Antony,Bangladesh,49,4141
359,Willi,Iran,51,5801
360,Stanislaus,Bangladesh,56,8668
361,Lesya,Iran,23,8792
362,Seline,Bangladesh,26,6247
363,Vanni,Iran,26,3887
364,Efrem,Pakistan,32,1693
365,Adriane,Nepal,58,7886
366,Olly,Bangladesh,32,7955
367,Florry,Iran,26,2268
368,Lindy,Iran,43,7028
369,Trudie,Iran,60,8205
370,Kathlin,Pakistan,20,8149
371,Ingrid,Pakistan,61,7383
372,Cross,Pakistan,56,9677
373,Nessi,Bangladesh,53,5677
374,Madeline,Nepal,45,1585
375,Royal,Iran,56,1723
376,Lanna,Pakistan,61,4280
377,Massimo,Pakistan,26,1995
378,Mano,Bangladesh,38,1526
379,Elisa,Pakistan,48,8898
380,Tull,Bhutan,50,1971
381,Euell,Pakistan,28,3460
382,Nollie,Pakistan,68,8161
383,Willie,Pakistan,23,759
384,Currey,Nepal,55,7889
385,Felicia,Pakistan,26,3501
386,Larisa,Nepal,50,2510
387,Cozmo,Iran,63,4246
388,Vinson,Iran,44,4094
389,Peter,Iran,19,7793
390,Arthur,Iran,48,4950
391,Sheridan,Iraq,50,6776
392,Joyan,Iran,29,807
393,Vanessa,Pakistan,30,1592
394,Norry,Pakistan,52,6494
395,Eduard,Pakistan,59,3952
396,Esmeralda,Iran,50,4500
397,Tiphany,Nepal,56,1810
398,Tessa,Iran,36,2412
399,Gilbert,Pakistan,35,2205
400,Upton,Iran,62,6659
401,Oliviero,Pakistan,60,7337
402,Philippine,Iraq,29,6194
403,Gilberte,Iran,57,5785
404,Riobard,Pakistan,20,5762
405,Idaline,Iran,25,6910
406,Tiebold,Iran,65,4109
407,Natalee,Iran,67,4709
408,Arleyne,Bangladesh,67,6119
409,Josias,Iran,18,7446
410,Nicolis,Nepal,48,6311
411,Randolf,Nepal,48,3322
412,Glynda,Nepal,68,4228
413,Emmit,Iraq,19,531
414,Godwin,Iran,61,2090
415,Angelique,Iran,67,4879
416,Miran,Iran,56,682
417,Godart,Pakistan,41,5695
418,Guilbert,Iran,52,3984
419,Eric,Iraq,31,6277
420,Trixi,Pakistan,37,4792
421,Antonia,Bangladesh,45,7610
422,Pierce,Pakistan,38,6069
423,Noak,Pakistan,49,4977
424,Janeva,Pakistan,51,4810
425,Debra,Pakistan,55,5142
426,Esme,Pakistan,64,9755
427,Rayner,Iraq,67,6832
428,Conway,Pakistan,26,4944
429,Thomasin,Iran,57,4915
430,Evania,Iran,26,8835
431,Ximenes,Iran,58,9394
432,Rolando,Iran,39,588
433,Elyse,Iran,23,4416
434,Abrahan,Pakistan,55,2479
435,Shurlock,Pakistan,28,805
436,Hyacinthe,Iran,63,6841
437,Erroll,Nepal,70,2918
438,Bertrando,Iraq,43,7581
439,Parnell,Pakistan,40,5037
440,Morgun,Bangladesh,18,8199
441,Marrilee,Bangladesh,50,9814
442,Gregorio,Bangladesh,59,7681
443,Terrill,Pakistan,67,2905
444,Pavel,Nepal,45,9654
445,Norina,Pakistan,55,2823
446,Rudolfo,Bangladesh,35,6166
447,Britt,Iran,70,2314
448,Mariann,Nepal,40,2360
449,Hilde,Bangladesh,27,536
450,Jacky,Iraq,27,2606
451,Kara,Pakistan,38,1136
452,Jaimie,Bangladesh,60,2458
453,Mark,Iran,27,2006
454,Cleopatra,Iran,21,1552
455,Harlan,Iran,51,1093
456,Izzy,Pakistan,33,815
457,Angel,Nepal,34,3194
458,Julee,Iran,35,2829
459,Clare,Pakistan,51,1593
460,Helen-elizabeth,Iran,67,4103
461,Christophe,Iran,37,9847
462,Parrnell,Pakistan,60,2146
463,Robena,Bhutan,63,1495
464,Edithe,Pakistan,23,6390
465,Joceline,Iran,29,3819
466,Delano,Bangladesh,62,8169
467,Zorana,Iraq,39,7450
468,Rupert,Pakistan,61,2949
469,Janessa,Pakistan,41,3926
470,Porty,Iran,18,3476
471,Marianne,Iran,41,4706
472,Hewet,Iran,60,4158
473,Crysta,Pakistan,22,3709
474,Kristin,Iran,70,532
475,Katusha,Iran,43,3795
476,Remington,Nepal,22,8434
477,Ramon,Iran,41,8572
478,Gerry,Pakistan,18,9548
479,Frank,Iran,53,3176
480,Kristy,Iran,46,2434
481,Nixie,Pakistan,28,6856
482,Harbert,Pakistan,32,6342
483,Hatti,Nepal,67,5039
484,Marylinda,Pakistan,52,1963
485,Jewell,Nepal,43,5187
486,Caspar,Iran,64,6966
487,Angelika,Pakistan,19,4866
488,Esteban,Nepal,52,5021
489,Edin,Iran,19,1294
490,Nat,Iran,24,4549
491,Cherianne,Iran,53,4748
492,Arleta,Pakistan,29,6234
493,Ransell,Iran,37,9458
494,Foster,Iran,32,2672
495,Ruperta,Pakistan,23,4073
496,Oriana,Pakistan,38,9671
497,Lonnie,Bangladesh,18,2651
498,Sada,Bangladesh,31,850
499,Ferdie,Pakistan,57,5370
500,Maddie,Iraq,66,5712
501,Alix,Pakistan,31,6538
502,Gun,Bangladesh,22,6399
503,Kit,Bangladesh,48,3607
504,Whitney,Pakistan,43,8587
505,Olly,Pakistan,27,5818
506,Elva,Bangladesh,65,7600
507,Whittaker,Iran,33,5688
508,Dorolisa,Pakistan,28,8721
509,Dunc,Iran,57,5179
510,Paco,Bhutan,57,4797
511,Lloyd,Pakistan,43,513
512,Bobinette,Nepal,36,3253
513,Laurette,Pakistan,50,9815
514,Rikki,Bangladesh,59,4544
515,Peadar,Iran,37,3912
516,Ted,Iran,46,1919
517,Freedman,Pakistan,68,2443
518,Halli,Nepal,45,6019
519,Heidie,Pakistan,36,4072
520,Ringo,Pakistan,31,1504
521,Michael,Pakistan,19,8273
522,Starr,Iraq,37,4290
523,Lilian,Iraq,70,4746
524,Arlen,Bangladesh,32,1157
525,Hymie,Pakistan,58,2585
526,Lucretia,Iran,69,3096
527,Emmy,Iran,36,6444
528,Alayne,Pakistan,37,2476
529,Vinnie,Iran,57,9854
530,Sherill,Pakistan,54,7212
531,Nicoli,Bhutan,25,2416
532,Waneta,Bhutan,43,3034
533,Imojean,Nepal,61,4744
534,Andrej,Pakistan,68,5457
535,Eleen,Iran,61,4899
536,Myrvyn,Pakistan,57,6619
537,Gabriella,Nepal,49,9504
538,Kippie,Iran,64,5111
539,Amalee,Iran,42,4387
540,Alvera,Bangladesh,47,8123
541,Frants,Iran,38,3038
542,Jefferson,Nepal,47,2233
543,Kellen,Iran,46,1751
544,Keelia,Iraq,18,3415
545,Robinia,Pakistan,32,622
546,Glory,Iran,57,1085
547,Ranique,Pakistan,59,3833
548,Georgie,Pakistan,22,1927
549,Merrill,Iran,65,9734
550,Ryon,Pakistan,33,7043
551,Evangelia,Iran,51,2391
552,Vernice,Iraq,58,7040
553,Zacharie,Pakistan,36,2874
554,Linoel,Pakistan,66,7983
555,Ludovika,Iran,50,8099
556,Rollie,Pakistan,40,9689
557,Germaine,Iran,50,3268
558,Henrietta,Pakistan,37,2885
559,Sammy,Iran,54,7642
560,Jan,Iran,19,6229
561,Danila,Iran,50,9094
562,Bonita,Bangladesh,52,6054
563,West,Nepal,25,5047
564,Carling,Bangladesh,42,5420
565,Fifine,Pakistan,54,9757
566,Norris,Pakistan,40,5194
567,Franzen,Bangladesh,34,1876
568,Riva,Bangladesh,46,5237
569,Lian,Bangladesh,62,4520
570,Ramsay,Bangladesh,57,4635
571,Melvyn,Pakistan,69,3810
572,Sonja,Iraq,43,7127
573,Tammie,Pakistan,30,2235
574,Ailee,Iran,21,6716
575,Ruddy,Bangladesh,38,9066
576,Baily,Bangladesh,29,2123
577,Leslie,Pakistan,32,9906
578,Candis,Nepal,30,2207
579,Bennie,Iran,28,3643
580,Reggy,Pakistan,36,7222
581,Budd,Pakistan,57,6345
582,Ad,Pakistan,44,6221
583,Sharline,Pakistan,25,2625
584,Graham,Pakistan,64,4950
585,Carlotta,Pakistan,23,5795
586,Justinn,Iran,61,9239
587,Boony,Nepal,25,1130
588,Correna,Bangladesh,35,9806
589,Porty,Bangladesh,34,9339
590,Martita,Pakistan,36,624
591,Valaria,Iran,64,6487
592,Amie,Bangladesh,62,3152
593,Carroll,Pakistan,36,6699
594,Chiarra,Iran,23,7640
595,Nathan,Bangladesh,57,1298
596,Jenda,Iran,41,8370
597,Massimo,Bangladesh,45,2388
598,Nicoline,Pakistan,56,8350
599,Isidora,Nepal,26,6734
600,Luther,Iran,45,926
601,Obed,Iran,40,5956
602,Tammy,Pakistan,54,9379
603,Garfield,Iran,27,3294
604,Merv,Nepal,61,6818
605,Leese,Nepal,46,9255
606,Elaina,Iran,52,2562
607,Janela,Iran,53,2640
608,Marika,Iran,66,5152
609,Laurette,Pakistan,48,2192
610,Hetty,Iran,28,8527
611,Cary,Iraq,49,2499
612,Jocko,Iran,31,3945
613,Lon,Iraq,32,7387
614,Deana,Bangladesh,69,2647
615,Tris,Pakistan,18,4726
616,Lynnet,Iran,60,3466
617,Roldan,Pakistan,34,8179
618,Charmine,Iraq,68,4207
619,Sande,Pakistan,52,3577
620,Luelle,Pakistan,57,5113
621,Nicolas,Iran,38,9529
622,Louise,Iran,30,6907
623,Bride,Iran,61,8803
624,Mag,Pakistan,68,5101
625,Ernest,Bangladesh,37,4770
626,Marge,Iran,48,7924
627,Sidney,Iraq,48,545
628,Mariana,Iran,22,8470
629,Jacki,Pakistan,52,1574
630,Wanids,Bangladesh,70,1120
631,Tori,Pakistan,58,1250
632,Lia,Nepal,59,1935
633,Jareb,Bangladesh,19,6851
634,Bernice,Iran,22,8429
635,Paulie,Pakistan,57,6658
636,Aridatha,Iran,29,3857
637,Ethyl,Bangladesh,23,984
638,Layton,Iran,60,749
639,Britteny,Bangladesh,23,1466
640,Izzy,Iran,54,7681
641,Killie,Iran,66,1156
642,Enoch,Iran,52,7729
643,Heida,Pakistan,36,2949
644,Garvin,Bangladesh,54,2641
645,Petronilla,Bangladesh,58,6667
646,Hannie,Iran,41,2378
647,Conrade,Bangladesh,30,8551
648,Ludvig,Iran,56,3149
649,Babara,Pakistan,62,2586
650,Alexandre,Nepal,39,4167
651,Petronilla,Iran,62,2080
652,Hewe,Pakistan,28,1030
653,Harbert,Bangladesh,27,5491
654,Anna-diane,Iran,42,1756
655,Tanny,Nepal,41,7071
656,Bary,Iran,54,3454
657,Bridie,Pakistan,37,786
658,Alta,Pakistan,29,6733
659,Mariana,Pakistan,60,2783
660,Edward,Bangladesh,48,9480
661,Issiah,Nepal,62,1540
662,Mikol,Iraq,63,3660
663,Teodora,Pakistan,48,3478
664,Anne,Bhutan,63,7951
665,Clarita,Iran,25,9551
666,Everard,Pakistan,35,8769
667,Merill,Iran,58,9056
668,Lynna,Nepal,41,1221
669,Cloe,Pakistan,22,8228
670,Crissie,Iran,29,5855
671,Johnath,Bangladesh,59,8013
672,Willi,Iran,19,3139
673,Charlotte,Bangladesh,23,8116
674,Elvis,Pakistan,65,9589
675,Ashla,Iraq,34,3123
676,Karim,Iran,69,4230
677,Floyd,Iran,52,4634
678,Thayne,Pakistan,34,4119
679,Elise,Nepal,33,6273
680,Vladamir,Pakistan,47,7435
681,Torrin,Pakistan,30,3272
682,Gavra,Pakistan,69,3336
683,Terza,Pakistan,34,3294
684,Dayna,Pakistan,70,913
685,Fayette,Pakistan,65,3652
686,Terence,Bhutan,53,4471
687,Steffen,Bangladesh,45,1741
688,Tiffanie,Pakistan,32,6404
689,Kiele,Iran,67,3939
690,Raychel,Iran,39,7291
691,Urson,Iran,58,6292
692,Jada,Iran,50,3863
693,Nollie,Iran,53,7143
694,Alfi,Iraq,21,8957
695,Giacinta,Pakistan,51,6646
696,Velma,Bangladesh,24,5549
697,Fax,Iran,25,9464
698,Ricky,Nepal,22,4098
699,Ulberto,Bangladesh,21,839
700,Adrien,Iran,36,9965
701,Pegeen,Pakistan,52,9384
702,Chris,Iran,37,9107
703,Sherwynd,Nepal,49,1208
704,Giordano,Pakistan,23,9595
705,Dewey,Nepal,33,1733
706,Horatia,Iraq,55,5074
707,Curr,Iran,38,6934
708,Anderea,Pakistan,58,1396
709,Phyllida,Pakistan,62,7968
710,Niels,Pakistan,40,8323
711,Verile,Bangladesh,38,8017
712,Fey,Pakistan,53,6360
713,Al,Pakistan,37,7565
714,Eldin,Iran,34,3693
715,Lidia,Bangladesh,26,2943
716,Morse,Bhutan,32,5065
717,Bird,Pakistan,57,1852
718,Bren,Pakistan,64,8587
719,Jacquelin,Iran,21,4363
720,Jacenta,Bangladesh,22,6764
721,Mead,Pakistan,45,1431
722,Corrina,Iran,22,4531
723,Lanie,Bangladesh,50,4984
724,Ulrick,Iran,54,5885
725,Esther,Iran,65,6565
726,Marin,Iran,65,9955
727,Murdock,Iraq,46,6166
728,Vida,Iran,67,2817
729,Prissie,Iran,21,4084
730,Romain,Iran,29,5557
731,Stinky,Pakistan,38,7193
732,Gilbertina,Bhutan,70,3066
733,Guenna,Bangladesh,20,5757
734,Breena,Pakistan,28,5349
735,Durand,Iran,35,1323
736,Virgina,Iran,39,9336
737,Jillane,Nepal,43,5406
738,Elisabet,Bhutan,25,5234
739,Ada,Bangladesh,59,8232
740,Darleen,Pakistan,46,3416
741,Arabella,Pakistan,67,4202
742,Christine,Pakistan,50,7554
743,Abelard,Pakistan,43,7119
744,Cleopatra,Pakistan,54,3539
745,Elle,Pakistan,23,1101
746,Ashlee,Pakistan,18,1812
747,Trudie,Pakistan,53,1166
748,Lazaro,Pakistan,21,3435
749,Fiorenze,Bangladesh,50,3602
750,Frannie,Iran,32,9179
751,Mariel,Iran,30,3758
752,Minda,Iran,26,6647
753,Arron,Iraq,36,5244
754,Tabbie,Pakistan,26,1654
755,Terri,Pakistan,52,1511
756,Englebert,Bangladesh,63,6167
757,Richy,Bangladesh,45,2971
758,Pren,Pakistan,24,5281
759,Sherlocke,Pakistan,42,5357
760,Helen-elizabeth,Iran,27,4548
761,Levon,Pakistan,51,9506
762,Reine,Pakistan,48,7632
763,Toinette,Pakistan,39,9422
764,Lucina,Iran,44,566
765,Fredrick,Iraq,36,3283
766,Emlyn,Pakistan,19,2343
767,Keith,Bangladesh,32,7896
768,Elysia,Pakistan,54,8891
769,Clerc,Pakistan,37,1792
770,Noam,Iran,47,7804
771,Therese,Bangladesh,25,972
772,Dominic,Pakistan,48,1142
773,Halie,Iran,27,3247
774,Guendolen,Pakistan,61,8885
775,Brooks,Pakistan,18,1596
776,Lionel,Pakistan,50,1072
777,Sidonnie,Iran,27,6354
778,Ange,Iran,30,9900
779,Carlen,Pakistan,35,2965
780,Dacia,Iran,69,8324
781,Aili,Iraq,29,7399
782,Odelinda,Bangladesh,68,3641
783,Brandtr,Iran,65,8884
784,Augusto,Pakistan,35,6120
785,Ebony,Pakistan,70,3392
786,Anton,Bangladesh,36,2624
787,Connie,Pakistan,55,1174
788,Derwin,Pakistan,64,713
789,Daile,Bangladesh,56,5037
790,Arvin,Bangladesh,54,511
791,Jacqui,Bangladesh,34,927
792,Tessy,Iran,67,6358
793,Dall,Iran,66,7304
794,Bess,Iran,19,2273
795,Aldon,Pakistan,45,8040
796,Katina,Iran,21,2832
797,Clo,Pakistan,47,2683
798,Bartholomeo,Pakistan,61,1211
799,Eloise,Pakistan,40,7227
800,Tiertza,Pakistan,51,7441
801,Catherina,Bangladesh,54,9612
802,Grayce,Bangladesh,67,3596
803,Krysta,Pakistan,55,8164
804,Klement,Iran,46,6540
805,Tymon,Pakistan,39,6799
806,Trudey,Pakistan,26,2261
807,Alphard,Bangladesh,43,6212
808,Gilligan,Iran,23,6773
809,Laina,Pakistan,41,4498
810,Millisent,Bangladesh,63,9260
